round,1,2,3,4,5,6
834,6,8,18,35,42,43
833,12,18,30,39,41,42
832,13,14,19,26,40,43
831,3,10,16,19,31,39
830,5,6,16,18,37,38
829,4,5,31,35,43,45
828,4,7,13,29,31,39
827,5,11,12,29,33,44
826,13,16,24,25,33,36
825,8,15,21,31,33,38
824,7,9,24,29,34,38
823,12,18,24,26,39,40
822,9,18,20,24,27,36
821,1,12,13,24,29,44
820,10,21,22,30,35,42
819,16,25,33,38,40,45
818,14,15,25,28,29,30
817,3,9,12,13,25,43
816,12,18,19,29,31,39
815,17,21,25,26,27,36
814,2,21,28,38,42,45
813,11,30,34,35,42,44
812,1,3,12,14,16,43
811,8,11,19,21,36,45
810,5,10,13,21,39,43
809,6,11,15,17,23,40
808,15,21,31,32,41,43
807,6,10,18,25,34,35
806,14,20,23,31,37,38
805,3,12,13,18,31,32
804,1,10,13,26,32,36
803,5,9,14,26,30,43
802,10,11,12,18,24,42
801,17,25,28,37,43,44
800,1,4,10,12,28,45
799,12,17,23,34,42,45
798,2,10,14,22,32,36
797,5,22,31,32,39,45
796,1,21,26,36,40,41
795,3,10,13,26,34,38
794,6,7,18,19,30,38
793,10,15,21,35,38,43
792,2,7,19,25,29,36
791,2,10,12,31,33,42
790,3,8,19,27,30,41
789,2,6,7,12,19,45
788,2,10,11,19,35,39
787,5,6,13,16,27,28
786,12,15,16,20,24,30
785,4,6,15,25,26,33
784,3,10,23,24,31,39
783,14,15,16,17,38,45
782,6,18,31,34,38,45
781,11,16,18,19,24,39
780,15,17,19,21,27,45
779,6,12,19,24,34,41
778,6,21,35,36,37,41
777,6,12,17,21,34,37
776,8,9,18,21,28,40
775,11,12,29,33,38,42
774,12,15,18,28,34,42
773,8,12,19,21,31,35
772,5,6,11,14,21,41
771,6,10,17,18,21,29
770,1,9,12,23,39,43
769,5,7,11,16,41,45
768,7,27,29,30,38,44
767,5,15,20,31,34,42
766,9,30,34,35,39,41
765,1,3,8,12,42,43
764,7,22,24,31,34,36
763,3,8,16,32,34,43
762,1,3,12,21,26,41
761,4,7,11,24,42,45
760,10,22,27,31,42,43
759,9,33,36,40,42,43
758,5,9,12,30,39,43
757,6,7,11,17,33,44
756,10,14,16,18,27,28
755,13,14,26,28,30,36
754,2,8,17,24,29,31
753,2,17,19,24,37,41
752,4,16,20,33,40,43
751,3,4,16,20,28,44
750,1,2,15,19,24,36
749,12,14,24,26,34,45
748,3,10,13,22,31,32
747,7,9,12,14,23,28
746,3,12,33,36,42,45
745,1,2,3,9,12,23
744,10,15,18,21,34,41
743,15,19,21,34,41,44
742,8,10,13,36,37,40
741,5,21,27,34,44,45
740,4,8,9,16,17,19
739,7,22,29,33,34,35
738,23,27,28,38,42,43
737,13,15,18,24,27,41
736,2,11,17,18,21,27
735,5,10,13,27,37,41
734,6,16,37,38,41,45
733,11,24,32,33,35,40
732,2,4,5,17,27,32
731,2,7,13,25,42,45
730,4,10,14,15,18,22
729,11,17,21,26,36,45
728,3,6,10,30,34,37
727,7,8,10,19,21,31
726,1,11,21,23,34,44
725,6,7,19,21,41,43
724,2,8,33,35,37,41
723,20,30,33,35,36,44
722,12,14,21,30,39,43
721,1,28,35,41,43,44
720,1,12,29,34,36,37
719,4,8,13,19,20,43
718,4,11,20,23,32,39
717,2,11,19,25,28,32
716,2,6,13,16,29,30
715,2,7,27,33,41,44
714,1,7,22,33,37,40
713,2,5,15,18,19,23
712,17,20,30,31,33,45
711,11,15,24,35,37,45
710,3,4,9,24,25,33
709,10,18,30,36,39,44
708,2,10,16,19,34,45
707,2,12,19,24,39,44
706,3,4,6,10,28,30
705,1,6,17,22,28,45
704,1,4,8,23,33,42
703,10,28,31,33,41,44
702,3,13,16,24,26,29
701,3,10,14,16,36,38
700,11,23,28,29,30,44
699,4,5,8,16,21,29
698,3,11,13,21,33,37
697,2,5,8,11,33,39
696,1,7,16,18,34,38
695,4,18,26,33,34,38
694,7,15,20,25,33,43
693,1,6,11,28,34,42
692,3,11,14,15,32,36
691,15,27,33,35,43,45
690,24,25,33,34,38,39
689,7,17,19,30,36,38
688,5,15,22,23,34,35
687,1,8,10,13,28,42
686,7,12,15,24,25,43
685,6,7,12,28,38,40
684,1,11,15,17,25,39
683,6,13,20,27,28,40
682,17,23,27,35,38,43
681,21,24,27,29,43,44
680,4,10,19,29,32,42
679,3,5,7,14,26,34
678,4,5,6,12,25,37
677,12,15,24,36,41,44
676,1,8,17,34,39,45
675,1,8,11,15,18,45
674,9,10,14,25,27,31
673,7,10,17,29,33,44
672,8,21,28,31,36,45
671,7,9,10,13,31,35
670,11,18,26,27,40,41
669,7,8,20,29,33,38
668,12,14,15,24,27,32
667,15,17,25,37,42,43
666,2,4,6,11,17,28
665,5,6,11,17,38,44
664,10,20,33,36,41,44
663,3,5,8,19,38,42
662,5,6,9,11,15,37
661,2,3,12,20,27,38
660,4,9,23,33,39,44
659,7,18,19,27,29,42
658,8,19,25,28,32,36
657,10,14,19,39,40,43
656,3,7,14,16,31,40
655,7,37,38,39,40,44
654,16,21,26,31,36,43
653,5,6,26,27,38,39
652,3,13,15,40,41,44
651,11,12,16,26,29,44
650,3,4,7,11,31,41
649,3,21,22,33,41,42
648,13,19,28,37,38,43
647,5,16,21,23,24,30
646,2,9,24,41,43,45
645,1,4,16,26,40,41
644,5,13,17,23,28,36
643,15,24,31,32,33,40
642,8,17,18,24,39,45
641,11,18,21,36,37,43
640,14,15,18,21,26,35
639,6,15,22,23,25,32
638,7,18,22,24,31,34
637,3,16,22,37,38,44
636,6,7,15,16,20,31
635,11,13,25,26,29,33
634,4,10,11,12,20,27
633,9,12,19,20,39,41
632,15,18,21,32,35,44
631,1,2,4,23,31,34
630,8,17,21,24,27,31
629,19,28,31,38,43,44
628,1,7,12,15,23,42
627,2,9,22,25,31,45
626,13,14,26,33,40,43
625,3,6,7,20,21,39
624,1,7,19,26,27,35
623,7,13,30,39,41,45
622,9,15,16,21,28,34
621,1,2,6,16,19,42
620,2,16,17,32,39,45
619,6,8,13,30,35,40
618,8,16,25,30,42,43
617,4,5,11,12,24,27
616,5,13,18,23,40,45
615,10,17,18,19,23,27
614,8,21,25,39,40,44
613,7,8,11,16,41,44
612,6,9,18,19,25,33
611,2,22,27,33,36,37
610,14,18,20,23,28,36
609,4,8,27,34,39,40
608,4,8,18,19,39,44
607,8,14,23,36,38,39
606,1,5,6,14,20,39
605,1,2,7,9,10,38
604,2,6,18,21,33,34
603,2,19,25,26,27,43
602,13,14,22,27,30,38
601,2,16,19,31,34,35
